Listening on port 8333
{u'lastRequest': 24, u'lastquality': 3, u'deviceTime': 1552328735330, u'lastChunkStartTime': 1552328731391, u'buffer': 59.508416, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 8837.955765010036, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1012, u'corruptedFrames': 0, u'time': 43127}, u'lastChunkFinishTime': 1552328732237, u'videoPlayed': 40.611924, u'Type': u'BB', u'lastChunkSize': 897976}
{u'lastRequest': 25, u'lastquality': 3, u'deviceTime': 1552328739352, u'lastChunkStartTime': 1552328735463, u'buffer': 59.520116, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 8855.162794259006, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1111, u'corruptedFrames': 0, u'time': 47116}, u'lastChunkFinishTime': 1552328736284, u'videoPlayed': 44.64, u'Type': u'BB', u'lastChunkSize': 905935}
{u'lastRequest': 26, u'lastquality': 3, u'deviceTime': 1552328743024, u'lastChunkStartTime': 1552328739497, u'buffer': 59.806427, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 8830.225520994205, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1204, u'corruptedFrames': 0, u'time': 50829}, u'lastChunkFinishTime': 1552328740439, u'videoPlayed': 48.313938, u'Type': u'BB', u'lastChunkSize': 1076599}
{u'lastRequest': 27, u'lastquality': 3, u'deviceTime': 1552328746975, u'lastChunkStartTime': 1552328743204, u'buffer': 59.846455, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 8819.417799857425, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1303, u'corruptedFrames': 0, u'time': 54789}, u'lastChunkFinishTime': 1552328743885, u'videoPlayed': 52.27403, u'Type': u'BB', u'lastChunkSize': 758197}
{u'lastRequest': 28, u'lastquality': 3, u'deviceTime': 1552328751096, u'lastChunkStartTime': 1552328747161, u'buffer': 59.686187, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 8871.150848910578, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1407, u'corruptedFrames': 0, u'time': 58949}, u'lastChunkFinishTime': 1552328748027, u'videoPlayed': 56.393813, u'Type': u'BB', u'lastChunkSize': 972798}
{u'lastRequest': 29, u'lastquality': 3, u'deviceTime': 1552328755166, u'lastChunkStartTime': 1552328751233, u'buffer': 59.766171, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 8975.691472741837, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1505, u'corruptedFrames': 0, u'time': 62869}, u'lastChunkFinishTime': 1552328752102, u'videoPlayed': 60.434428, u'Type': u'BB', u'lastChunkSize': 975811}
{u'lastRequest': 30, u'lastquality': 3, u'deviceTime': 1552328759122, u'lastChunkStartTime': 1552328755266, u'buffer': 59.850696, u'nextChunkSize': [2147852, 1497683, 954453, 620283, 400322, 157488], u'bandwidthEst': 8948.639929047975, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1603, u'corruptedFrames': 0, u'time': 66784}, u'lastChunkFinishTime': 1552328756070, u'videoPlayed': 64.390256, u'Type': u'BB', u'lastChunkSize': 873429}
{u'lastRequest': 31, u'lastquality': 3, u'deviceTime': 1552328763180, u'lastChunkStartTime': 1552328759236, u'buffer': 59.60897800000001, u'nextChunkSize': [2191074, 1358081, 885062, 584349, 369834, 143881], u'bandwidthEst': 8896.751313513154, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1709, u'corruptedFrames': 0, u'time': 71026}, u'lastChunkFinishTime': 1552328760093, u'videoPlayed': 68.471022, u'Type': u'BB', u'lastChunkSize': 954453}
{u'lastRequest': 32, u'lastquality': 3, u'deviceTime': 1552328767178, u'lastChunkStartTime': 1552328763315, u'buffer': 59.64703400000002, u'nextChunkSize': [2286761, 1587293, 1035329, 670129, 412837, 163444], u'bandwidthEst': 8864.771866587836, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1808, u'corruptedFrames': 0, u'time': 74990}, u'lastChunkFinishTime': 1552328764125, u'videoPlayed': 72.47322, u'Type': u'BB', u'lastChunkSize': 885062}
{u'lastRequest': 33, u'lastquality': 3, u'deviceTime': 1552328770871, u'lastChunkStartTime': 1552328767363, u'buffer': 59.93802700000002, u'nextChunkSize': [2307787, 1492672, 1026056, 690253, 401088, 179328], u'bandwidthEst': 8877.77285546687, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1901, u'corruptedFrames': 0, u'time': 78697}, u'lastChunkFinishTime': 1552328768279, u'videoPlayed': 76.141973, u'Type': u'BB', u'lastChunkSize': 1035329}
