Listening on port 8333
{u'lastRequest': 22, u'lastquality': 0, u'deviceTime': 1527279489597, u'lastChunkStartTime': 1527279487744, u'buffer': 18.847945999999993, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 471.23680318862836, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1824, u'corruptedFrames': 0, u'time': 95315}, u'lastChunkFinishTime': 1527279489568, u'videoPlayed': 73.232054, u'Type': u'RB', u'lastChunkSize': 163927}
{u'lastRequest': 23, u'lastquality': 0, u'deviceTime': 1527279491294, u'lastChunkStartTime': 1527279489741, u'buffer': 21.168044999999992, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 444.10667605703685, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1867, u'corruptedFrames': 0, u'time': 97029}, u'lastChunkFinishTime': 1527279491270, u'videoPlayed': 74.911955, u'Type': u'RB', u'lastChunkSize': 137654}
{u'lastRequest': 24, u'lastquality': 0, u'deviceTime': 1527279493031, u'lastChunkStartTime': 1527279491435, u'buffer': 23.411658000000003, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 427.8953806155823, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1910, u'corruptedFrames': 0, u'time': 98752}, u'lastChunkFinishTime': 1527279493006, u'videoPlayed': 76.668342, u'Type': u'RB', u'lastChunkSize': 146754}
{u'lastRequest': 25, u'lastquality': 0, u'deviceTime': 1527279494522, u'lastChunkStartTime': 1527279493153, u'buffer': 25.942577, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 699.305798573707, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1946, u'corruptedFrames': 0, u'time': 100173}, u'lastChunkFinishTime': 1527279494490, u'videoPlayed': 78.137423, u'Type': u'RB', u'lastChunkSize': 153938}
{u'lastRequest': 26, u'lastquality': 0, u'deviceTime': 1527279496114, u'lastChunkStartTime': 1527279494642, u'buffer': 28.362261000000004, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 798.4333355331221, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1986, u'corruptedFrames': 0, u'time': 101796}, u'lastChunkFinishTime': 1527279496091, u'videoPlayed': 79.757842, u'Type': u'RB', u'lastChunkSize': 181901}
{u'lastRequest': 27, u'lastquality': 1, u'deviceTime': 1527279498460, u'lastChunkStartTime': 1527279496272, u'buffer': 30.026453000000004, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 873.8467990551467, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 2049, u'corruptedFrames': 0, u'time': 104298}, u'lastChunkFinishTime': 1527279498417, u'videoPlayed': 82.097663, u'Type': u'RB', u'lastChunkSize': 277716}
{u'lastRequest': 28, u'lastquality': 1, u'deviceTime': 1527279502113, u'lastChunkStartTime': 1527279498589, u'buffer': 30.340537999999995, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 919.7820995533515, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2141, u'corruptedFrames': 0, u'time': 107986}, u'lastChunkFinishTime': 1527279502073, u'videoPlayed': 85.739462, u'Type': u'RB', u'lastChunkSize': 400396}
{u'lastRequest': 29, u'lastquality': 1, u'deviceTime': 1527279507900, u'lastChunkStartTime': 1527279502251, u'buffer': 28.571066000000002, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 754.5119973048282, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2282, u'corruptedFrames': 0, u'time': 113632}, u'lastChunkFinishTime': 1527279507866, u'videoPlayed': 91.508934, u'Type': u'RB', u'lastChunkSize': 400508}
{u'lastRequest': 30, u'lastquality': 1, u'deviceTime': 1527279513257, u'lastChunkStartTime': 1527279508201, u'buffer': 27.200739, u'nextChunkSize': [2147852, 1497683, 954453, 620283, 400322, 157488], u'bandwidthEst': 682.6035075502659, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2416, u'corruptedFrames': 0, u'time': 119002}, u'lastChunkFinishTime': 1527279513227, u'videoPlayed': 96.879261, u'Type': u'RB', u'lastChunkSize': 358218}
{u'lastRequest': 31, u'lastquality': 0, u'deviceTime': 1527279515499, u'lastChunkStartTime': 1527279513403, u'buffer': 28.963510000000014, u'nextChunkSize': [2191074, 1358081, 885062, 584349, 369834, 143881], u'bandwidthEst': 656.7601300048617, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2473, u'corruptedFrames': 0, u'time': 121280}, u'lastChunkFinishTime': 1527279515478, u'videoPlayed': 99.11649, u'Type': u'RB', u'lastChunkSize': 157488}
