Listening on port 8333
{u'lastRequest': 22, u'lastquality': 2, u'deviceTime': 1527281194231, u'lastChunkStartTime': 1527281189290, u'buffer': 29.773221, u'bufferAdjusted': 25.223221000000002, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 1113.3313788450553, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1543, u'corruptedFrames': 0, u'time': 73316}, u'lastChunkFinishTime': 1527281194171, u'videoPlayed': 62.306779, u'Type': u'ABR', u'lastChunkSize': 656471}
{u'lastRequest': 23, u'lastquality': 2, u'deviceTime': 1527281198807, u'lastChunkStartTime': 1527281194428, u'buffer': 29.217022999999998, u'bufferAdjusted': 24.667023, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 1068.6183307523265, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1655, u'corruptedFrames': 0, u'time': 77789}, u'lastChunkFinishTime': 1527281198759, u'videoPlayed': 66.862977, u'Type': u'ABR', u'lastChunkSize': 536667}
{u'lastRequest': 24, u'lastquality': 2, u'deviceTime': 1527281208157, u'lastChunkStartTime': 1527281198982, u'buffer': 23.851960000000005, u'bufferAdjusted': 19.301960000000008, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 719.8133991971745, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1894, u'corruptedFrames': 0, u'time': 87362}, u'lastChunkFinishTime': 1527281208112, u'videoPlayed': 76.22804, u'Type': u'ABR', u'lastChunkSize': 587236}
{u'lastRequest': 25, u'lastquality': 1, u'deviceTime': 1527281216240, u'lastChunkStartTime': 1527281208498, u'buffer': 19.766524000000004, u'bufferAdjusted': 15.216524000000007, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 575.5993289857033, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 2093, u'corruptedFrames': 0, u'time': 95320}, u'lastChunkFinishTime': 1527281216206, u'videoPlayed': 84.313476, u'Type': u'ABR', u'lastChunkSize': 379700}
{u'lastRequest': 26, u'lastquality': 1, u'deviceTime': 1527281221161, u'lastChunkStartTime': 1527281216394, u'buffer': 18.84187899999999, u'bufferAdjusted': 14.291878999999994, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 583.2626056795222, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2218, u'corruptedFrames': 0, u'time': 100326}, u'lastChunkFinishTime': 1527281221120, u'videoPlayed': 89.238121, u'Type': u'ABR', u'lastChunkSize': 425781}
{u'lastRequest': 27, u'lastquality': 1, u'deviceTime': 1527281224039, u'lastChunkStartTime': 1527281221504, u'buffer': 19.964542999999992, u'bufferAdjusted': 15.414542999999995, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 556.5729721016191, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2289, u'corruptedFrames': 0, u'time': 103141}, u'lastChunkFinishTime': 1527281223947, u'videoPlayed': 92.115457, u'Type': u'ABR', u'lastChunkSize': 277716}
{u'lastRequest': 28, u'lastquality': 0, u'deviceTime': 1527281225523, u'lastChunkStartTime': 1527281224265, u'buffer': 22.492711999999997, u'bufferAdjusted': 17.942712, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 528.231399767672, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2324, u'corruptedFrames': 0, u'time': 104557}, u'lastChunkFinishTime': 1527281225486, u'videoPlayed': 93.587288, u'Type': u'ABR', u'lastChunkSize': 153605}
{u'lastRequest': 29, u'lastquality': 0, u'deviceTime': 1527281226836, u'lastChunkStartTime': 1527281225697, u'buffer': 25.183913000000004, u'bufferAdjusted': 20.633913000000007, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 554.2044158337319, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2359, u'corruptedFrames': 0, u'time': 105939}, u'lastChunkFinishTime': 1527281226816, u'videoPlayed': 94.896087, u'Type': u'ABR', u'lastChunkSize': 149029}
{u'lastRequest': 30, u'lastquality': 0, u'deviceTime': 1527281228337, u'lastChunkStartTime': 1527281227000, u'buffer': 27.720861, u'bufferAdjusted': 23.170861000000002, u'nextChunkSize': [2147852, 1497683, 954453, 620283, 400322, 157488], u'bandwidthEst': 843.683965556676, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2393, u'corruptedFrames': 0, u'time': 107316}, u'lastChunkFinishTime': 1527281228256, u'videoPlayed': 96.4, u'Type': u'ABR', u'lastChunkSize': 157421}
{u'lastRequest': 31, u'lastquality': 0, u'deviceTime': 1527281229893, u'lastChunkStartTime': 1527281228513, u'buffer': 30.124471000000014, u'bufferAdjusted': 25.574471000000017, u'nextChunkSize': [2191074, 1358081, 885062, 584349, 369834, 143881], u'bandwidthEst': 966.292563781596, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2434, u'corruptedFrames': 0, u'time': 108962}, u'lastChunkFinishTime': 1527281229861, u'videoPlayed': 97.955529, u'Type': u'ABR', u'lastChunkSize': 157488}
{u'lastRequest': 32, u'lastquality': 0, u'deviceTime': 1527281231536, u'lastChunkStartTime': 1527281230091, u'buffer': 32.48191200000001, u'bufferAdjusted': 27.93191200000001, u'nextChunkSize': [2286761, 1587293, 1035329, 670129, 412837, 163444], u'bandwidthEst': 950.4034539675773, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 33, u'totalFrames': 2476, u'corruptedFrames': 0, u'time': 110647}, u'lastChunkFinishTime': 1527281231501, u'videoPlayed': 99.598088, u'Type': u'ABR', u'lastChunkSize': 143881}
{u'lastRequest': 33, u'lastquality': 1, u'deviceTime': 1527281238411, u'lastChunkStartTime': 1527281231759, u'buffer': 29.57297100000001, u'bufferAdjusted': 25.022971000000013, u'nextChunkSize': [2307787, 1492672, 1026056, 690253, 401088, 179328], u'bandwidthEst': 626.5407416162797, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 39, u'totalFrames': 2648, u'corruptedFrames': 0, u'time': 117515}, u'lastChunkFinishTime': 1527281238386, u'videoPlayed': 106.507029, u'Type': u'ABR', u'lastChunkSize': 412837}
