,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Apple,5230.298,5414.509,61.49,0.822,0.0,2371.572,0.0,0.0,0.0,59.377,0.0,1811.778,0.0,264.231,0.0,39.295,0.0,253.524,0.0,0.0,17.774,534.646,0.0,-inf,8167.814,5307.129,-inf,11653.344
Office,4046.277,6918.481,253.954,3.568,0.0,2326.124,0.0,0.0,0.0,279.426,0.0,2280.585,0.0,308.638,0.0,147.955,0.0,1094.41,0.0,0.0,17.022,206.799,0.0,-inf,6918.498,6918.463,-inf,7893.63
Tmall,14418.015,4760.458,83.175,1.804,0.0,2308.149,0.0,0.0,0.0,169.906,0.0,1948.673,0.0,89.937,0.0,22.088,0.0,113.391,0.0,0.0,16.749,6.586,0.0,-inf,17448.144,4760.437,-inf,18901.75
Vk,2913.946,3263.391,236.386,0.724,0.0,0.234,0.0,0.0,0.0,44.009,0.0,2670.35,0.0,113.698,0.0,22.968,0.0,33.706,0.0,0.0,0.0,141.316,0.0,-inf,3263.398,3263.375,-inf,4738.466
Blogspot,1798.33746,4701.564,1.126,1.638,0.0,2831.315,0.0,0.0,0.0,183.062,0.0,513.123,0.0,513.643,0.0,82.582,0.0,171.288,0.0,0.0,16.47,387.317,0.0,-inf,4701.557,4701.542,-inf,5805.593
Linkedin,1639.161,4031.404,0.93,1.052,0.0,2327.146,0.0,0.0,0.0,150.884,0.0,629.393,0.0,758.85,0.0,35.323,0.0,92.759,0.0,0.0,16.832,18.235,0.0,-inf,4031.422,4030.883,-inf,2060.423
Aliexpress,3399.239,3471.448,23.314,0.913,0.0,2345.119,0.0,0.0,0.0,94.028,0.0,593.171,0.0,297.272,0.0,20.918,0.0,49.55,0.0,0.0,16.766,30.397,0.0,-inf,6002.499,3209.321,-inf,6472.319
Rakuten,6336.417,5181.432,2.422,2.013,0.0,2371.304,0.0,0.0,0.0,132.934,0.0,2086.031,0.0,323.208,0.0,27.715,0.0,118.321,0.0,0.0,18.044,99.44,0.0,-inf,9127.474,5181.406,-inf,13248.951
Soundcloud,4673.804,3210.078,0.27,1.592,0.0,2398.358,0.0,0.0,0.0,6.489,0.0,510.081,0.0,232.648,0.0,15.097,0.0,4.64,0.0,0.0,17.504,23.399,0.0,-inf,7543.702,3064.778,-inf,5505.542
Popads,1263.704,3622.889,6.934,2.226,0.0,2284.513,0.0,0.0,0.0,56.126,0.0,821.669,0.0,165.131,0.0,32.269,0.0,72.557,0.0,0.0,13.356,168.108,0.0,-inf,3622.917,2895.343,-inf,2485.011
Mail.ru,2263.851,3974.635,0.862,1.195,0.0,2283.857,0.0,0.0,0.0,46.806,0.0,601.247,0.0,647.663,0.0,31.1,0.0,100.369,0.0,0.0,17.168,244.368,0.0,-inf,4829.475,3974.61,-inf,6724.28
