name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:gpu,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,0,2019-05-13 17:55:30,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_22-55-30_1261.html
timeToFirstContentfulPaint:raster,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,1,2019-05-13 18:01:31,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-01-31_58271.html
timeToFirstContentfulPaint:style,ms,2521.846,1,2521.846,2521.846,0,2521.846,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Trello,0,2019-05-13 17:50:03,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_22-50-03_92950.html
timeToFirstContentfulPaint:idle,ms,5027.659,1,5027.659,5027.659,0,5027.659,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,4Chan,0,2019-05-13 17:54:25,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_22-54-25_46425.html
timeToFirstContentfulPaint:parseHTML,ms,871.874,1,871.874,871.874,0,871.874,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,4Chan,0,2019-05-13 17:54:25,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_22-54-25_46425.html
timeToFirstContentfulPaint:script_execute,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,0,2019-05-13 17:55:30,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_22-55-30_1261.html
timeToInteractive,ms,,0,-Infinity,Infinity,,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,1,2019-05-13 18:01:31,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-01-31_58271.html
timeToFirstContentfulPaint:v8_runtime,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Trello,0,2019-05-13 17:50:03,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_22-50-03_92950.html
timeToFirstContentfulPaint:gpu,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,4Chan,0,2019-05-13 17:54:25,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_22-54-25_46425.html
timeToFirstContentfulPaint:layout,ms,496.424,1,496.424,496.424,0,496.424,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,1,2019-05-13 18:01:31,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-01-31_58271.html
